name,otherNames,capabilities,timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,atobviacCode,dataloyCode,location.country,location.lat,location.lon,location.kind,kind
Huelva,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Idku,,LOAD,Africa/Cairo,24,24,23.98,7,false,24,,,,0.0,0.0,Location,Port
Incheon,,"DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Iran,,LOAD,Asia/Tehran,24,24,23.82,7,false,24,,,,0.0,0.0,Location,Port
Isle of Grain,,DISCHARGE,Europe/London,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Jiangsu,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Kagoshima,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Karachi,,DISCHARGE,Asia/Karachi,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Kawagoe,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Kenai,Nikiski,LOAD,Asia/Dubai,24,24,22.13,7,false,24,,,,0.0,0.0,Location,Port
Kitimat,,LOAD,America/Vancouver,24,24,23.53,7,false,24,,,,0.0,0.0,Location,Port
Kochi,,DISCHARGE,Etc/GMT+5,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Krk Island,Krk Is,DISCHARGE,Europe/Zagreb,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Lake Charles,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Livorno,,DISCHARGE,Europe/Rome,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Lumut,,LOAD,Asia/Brunei,24,24,23.95,7,false,24,,,,0.0,0.0,Location,Port
Manzanillo,,DISCHARGE,America/Mexico_City,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Map Ta Phut,,DISCHARGE,Asia/Bangkok,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Marmara Ereglisi,,"DISCHARGE,DRYDOCK",Europe/Istanbul,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Marsa el Brega,,LOAD,Africa/Tripoli,24,24,22.92,7,false,24,,,,0.0,0.0,Location,Port
Mejillones,,DISCHARGE,America/Santiago,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Melkoya Is,Melkoya,LOAD,Europe/Oslo,24,24,23.67,7,false,24,,,,0.0,0.0,Location,Port
Mina Al-Ahmadi,Mina al Ahmadi,"DISCHARGE,DRYDOCK",Asia/Kuwait,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Mizushima,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Montoir,,"DISCHARGE,DRYDOCK",Europe/Paris,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Nagasaki,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Negishi,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Neptune,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Niigata,Higashi Niigata,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
North East Gateway,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Oita,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Osaka,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Pampa Melchorita,,LOAD,America/Lima,24,24,23.16,7,false,24,,,,0.0,0.0,Location,Port
Panigaglia,,DISCHARGE,Europe/Rome,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Pascagoula,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Pecem,,DISCHARGE,America/Fortaleza,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Panuelas,Penuelas,DISCHARGE,America/Puerto_Rico,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Pluto,,LOAD,Australia/Perth,24,24,23.9,7,false,24,,,,0.0,0.0,Location,Port
Point Fortin,,LOAD,America/Port_of_Spain,24,24,22.53,7,false,24,,,,0.0,0.0,Location,Port
Port Arthur,,DISCHARGE,America/Chicago,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Port Dolphin,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Port Moresby,,LOAD,Pacific/Port_Moresby,24,24,23.8,7,false,24,,,,0.0,0.0,Location,Port
Pyeongtaek,"Pyeongteak,Pyeongtaek/Tongyeong","DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Qalhat,,LOAD,Asia/Muscat,24,24,24.01,7,false,24,,,,0.0,0.0,Location,Port
Quebec,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Quintero,,DISCHARGE,America/Santiago,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Ras Laffan,,LOAD,Asia/Qatar,24,24,23.87,7,false,24,,,,0.0,0.0,Location,Port
Revithoussa,Revithousa,"DISCHARGE,DRYDOCK",Europe/Athens,24,24,30.0,7,false,24,,,,0.0,0.0,Location,Port
Rovigo,,"DISCHARGE,DRYDOCK",Europe/Rome,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Sabine Pass,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Sagunto,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Sakai,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Sakhalin II,Sakhalin,LOAD,Asia/Sakhalin,24,24,23.57,7,false,24,,,,0.0,0.0,Location,Port
Senboku,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Sendai,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Shanghai,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Shimizu,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Shin-minato,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Shtokman,,LOAD,Europe/Moscow,24,24,23.69,7,false,24,,,,0.0,0.0,Location,Port
Sines,,"DISCHARGE,DRYDOCK,LOAD",Europe/Lisbon,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Singapore,,"DISCHARGE,DRYDOCK,LOAD",Asia/Singapore,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Skikda,,LOAD,Africa/Algiers,24,24,23.15,7,false,24,,,,0.0,0.0,Location,Port
Sodegaura,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
South Hook,,DISCHARGE,Europe/London,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Soyo,,LOAD,Africa/Luanda,24,24,23.69,7,false,24,,,,0.0,0.0,Location,Port
