name,2005-01-15,2000-02-29,2004-02-15,2010-08-15,2009-08-15,2000-12-31,2010-09-15,2008-07-15,2001-06-30,2005-12-15,2004-08-15,2004-12-15,2009-02-15,2004-11-15,2007-10-15,2003-11-30,2011-07-15,2008-03-15,2002-09-30,2001-10-31,2011-01-15,2010-04-15,2006-08-15,2007-02-15,2011-08-15,2003-03-31,2008-08-15,2003-10-31,2007-07-15,2005-10-15,2006-03-15,2011-09-15,2006-04-15,2005-06-15,2006-11-15,2010-06-15,2005-04-15,2011-03-15,2005-08-15,2010-12-15,2005-07-15,2000-03-31,2009-09-15,2008-11-15,2011-11-15,2003-12-31,2001-04-30,2007-01-15,2007-09-15,2004-10-15,2010-01-15,2007-11-15,2011-06-15,2010-05-15,2009-07-15,2012-01-15,2008-10-15,2000-11-30,2005-09-15,2002-04-30,2001-11-30,2005-11-15,2006-07-15,2000-01-31,2009-01-15,2001-12-31,2004-01-15,2000-10-31,2006-10-15,2011-12-15,2004-04-15,2004-05-15,2010-03-15,2000-06-30,2011-02-15,2012-03-15,2007-06-15,2008-04-15,2001-08-31,2007-05-15,2009-04-15,2008-05-15,2001-07-31,2007-03-15,2008-06-15,2009-05-15,2001-02-28,2003-02-28,2007-04-15,2001-01-31,2000-04-30,2002-08-31,2001-05-31,2009-11-15,2002-10-31,2002-07-31,2003-01-31,2006-09-15,2003-04-30,2008-01-15,2006-06-15,2008-02-15,2012-02-15,2011-05-15,2000-07-31,2012-05-15,2002-12-31,2008-12-15,2010-07-15,2002-11-30,2003-08-31,2000-08-31,2001-09-30,2003-06-30,2011-10-15,2002-02-28,2003-09-30,2002-01-31,2000-09-30,2004-03-15,2010-02-15,2004-07-15,2006-02-15,2002-03-31,2005-03-15,2002-05-31,2009-03-15,2007-12-15,2006-01-15,2009-12-15,2004-09-15,2005-02-15,2010-11-15,2004-06-15,2009-10-15,2005-05-15,2006-12-15,2006-05-15,2000-05-31,2007-08-15,2003-07-31,2008-09-15,2011-04-15,2002-06-30,2012-04-15,2003-05-31,2009-06-15,2001-03-31,2010-10-15
HH,6.14,2.79,5.16,3.8,2.42,8.19,3.85,9.26,3.31,9.52,5.15,6.02,4.04,6.18,7.28,5.76,4.26,9.86,4.39,1.83,4.42,3.94,5.8,7.53,3.97,5.25,8.24,4.86,6.53,12.18,7.19,3.68,6.64,6.36,8.32,4.53,6.64,4.32,12.69,4.22,7.62,3.04,3.25,6.43,3.53,5.8,3.73,7.76,6.15,5.75,5.26,7.29,4.28,4.31,3.34,2.51,6.18,8.9,14.83,3.15,2.77,11.73,8.04,2.66,4.77,2.28,5.1,5.52,6.64,2.98,6.51,6.02,3.93,3.99,3.93,2.0,6.4,10.81,1.8,7.8,3.25,11.43,2.15,7.5,13.19,3.92,5.35,5.01,7.71,5.18,3.59,4.09,2.91,4.41,4.19,3.12,10.81,3.66,5.99,8.1,6.1,9.1,2.44,4.62,4.43,2.36,5.58,5.63,4.81,4.59,4.66,5.06,3.07,4.63,3.66,3.18,3.98,2.49,5.02,5.52,4.76,5.34,7.39,3.65,7.062,3.2,3.58,7.11,8.19,5.82,5.37,6.01,4.16,5.9,4.11,6.31,5.5,5.97,4.29,5.49,4.86,7.17,4.51,3.02,2.1,5.31,3.72,4.73,3.36
NBP,5.32889,2.20976,5.2575755,6.461929,3.17343,4.33753,7.2034935,10.7109,2.12355,12.5414,5.04616,5.6876,4.811184,5.5568,8.054631,5.372952,8.6647575,11.579552,2.3759745,2.5519455,8.551476,5.26746,5.33176,3.574116,9.694318,2.587878,10.33296,5.00143,5.9942175,6.1845,7.82969,7.0119,7.209935,4.818328,5.639837,6.531839,5.2569495,9.8991425,5.031207,9.6791795,5.743428,2.22824,3.496874,9.29643,8.984815,4.9542075,3.15018,4.300503,7.46863,4.70712,6.85635,9.2980922057,9.194931,5.4150325,3.636165,9.587526,11.376144,3.56475,5.109675,2.047085,3.06117,17.6954,7.28247,2.10002,9.866358,3.271725,4.4032695,3.62025,6.29442,8.1139025,3.868455,3.84657,5.048015,2.42672,9.054592,9.89418,4.377658,12.51306,2.3256,4.3075875,4.103115,11.6162776035,2.42182,4.190349,12.6243876014,3.8456,4.3332,2.8323,3.018188,3.65875,2.17224,1.6470122,2.97738,4.409136,2.7300525,1.6494925,4.1185,4.49328,2.501496,10.73088,6.004375,11.12664,9.39044,9.494732,1.6489,9.471319,2.5776,8.665905,6.782465,2.973106,2.12922,2.8946,2.815531,2.762514,9.483876,2.3851175,2.873357,2.630396,2.9516,3.589692,4.9685025,3.739689,15.43344,1.9285662,5.51734,1.824519,4.4908875,10.0921991031,10.707774,5.73467,4.31137,10.759,8.926274,3.401717,4.645995,5.4525,4.84506,6.25515,7.505,5.202312,2.4554025,11.27621,9.6281265,2.0132229,9.982065,2.470511,4.033435,2.97276,7.31424
Japanese Import,5.4243069712,4.142549466,4.6796833699,11.4457826456,8.1863088568,4.8529906122,11.16434385,12.2043900929,4.5166036368,6.5762509211,5.193227874,5.6930223544,10.0072574143,5.7435311459,8.5965704397,4.707018978,16.5588776956,11.5119011481,4.3587377119,4.4434872465,11.5217986602,10.7183897396,7.1598607302,7.0416819997,16.4873297061,4.7670531854,13.1971182738,4.7081840868,7.5396617747,6.3136357181,7.1346071793,16.425872448,6.9393867649,5.5360870028,7.3578132675,10.7373205067,5.7911617105,12.3062752891,6.2523590899,11.0452158391,5.9307798872,4.6610712691,8.543357221,15.6252824074,16.7031351006,4.819158604,4.7134507574,7.0252089074,7.9309161654,5.9761488795,10.1210860031,9.3424916082,14.2624895189,11.2477480093,7.4759009127,16.7529404902,16.0647217383,4.9878712434,6.2021286166,4.0733510366,4.2921935516,6.5298724447,6.9000842779,3.9859597152,12.7674956663,4.0004149038,4.7968516033,4.9615281834,7.2636092481,16.7204415092,4.734375691,4.9169825526,10.1761252112,4.7597641715,12.1232986529,16.429015467,7.0255563923,11.046261221,4.6897220629,7.0957264098,8.1571554419,11.4166300476,4.6014870999,6.9025559215,12.0015630738,7.6026564919,4.7292341358,4.8437077338,7.0134237192,4.7979667351,4.5126597026,4.3431918363,4.7584540297,9.7400642221,4.564710761,4.1567661048,4.6847950364,7.5565740915,4.7651907739,10.3443849509,6.996344049,10.723258891,15.6172278776,13.2744115038,4.6919648048,,4.6425783492,13.3625671747,11.4560426601,4.5529627958,5.0484814364,4.8987845844,4.5259135053,4.6948356082,16.0185613278,4.0827024861,5.0521632284,4.0646076844,4.8011841414,5.1216434416,10.2848309216,4.4634139978,7.1096423512,3.942009403,5.4757016961,4.16363593,9.3702613435,9.104973591,6.4693502712,9.5394459243,5.3768732682,5.543740295,10.8287514728,5.0827362313,9.1112116578,5.6097125539,7.2011086237,6.9729534234,4.4904435346,7.9147647471,4.819373838,14.3916653952,11.1715883176,4.2389785506,,4.7372096183,7.2829698959,4.5162345318,11.2688093602
Korean Import,6.89501823,4.7821638906,5.5780519601,11.8444671861,9.768402853,5.8689667126,11.3722288562,16.4500097908,5.3367352792,9.1248722284,6.6526106522,6.9213494041,13.4517350277,7.2923987539,10.462761666,5.4144901003,14.5894042005,13.6455387713,5.0134386386,5.3051657186,10.6033360281,11.9145115354,10.7375737433,9.6172928671,15.2360113861,5.6901799866,12.4482950219,4.4678301819,9.8506888622,9.1896284656,8.803616515,15.067613631,9.5607643094,8.0789217397,9.8371745738,11.1044298862,7.3402164558,11.2729078279,9.1064337987,10.635270224,8.554274574,5.0799882199,8.4847093216,18.3850969526,14.7815251019,5.4314534409,5.8771916806,10.4190691918,10.4474614245,6.8628727115,10.2287585061,11.0290337584,13.8208653806,12.1139933802,8.2213551096,14.4940735875,17.4262779841,5.9853721766,8.9275034326,4.3514429251,5.1072627515,8.9839691225,10.7164470262,4.5228677551,16.1360117017,4.7862801435,5.5167731016,5.9962541883,10.941827506,15.7513914771,5.8777284129,6.049393855,10.314525081,5.3942470817,10.3519290075,14.8058635015,9.9595246976,14.3173223988,5.1549038683,9.4555744662,9.3530534296,15.1617400378,5.1736479391,9.6056374664,15.582736299,8.5209650389,5.8840067835,5.6159628092,9.4624930587,5.8601145911,5.1882315545,4.7381202175,5.374989325,10.0069390757,5.2044516342,4.4893519308,5.4603936647,10.4733750328,5.5404646484,11.8769191231,10.1620149246,13.1249248348,15.620562468,12.8928378898,5.650290414,,5.2064173067,18.1301979455,11.4955667879,5.2742511348,5.5458948056,5.6141277026,5.2073359419,5.666004259,15.0243579697,4.6590624419,5.4918713479,4.6988052879,5.6882315257,5.6363410646,10.1148560809,6.4492300619,9.6109448444,4.4801280557,6.8763666446,4.4005158468,12.6547988663,12.3786115393,9.1895324174,10.5905592224,7.0058585225,7.10784075,10.7735616617,6.3666175251,10.0088362095,7.8472342405,10.3913704936,10.2073809764,5.1700903323,10.7783737213,5.7777210558,17.7665168654,13.2098115226,4.4099395696,,5.4243080168,7.7485921879,5.9259942558,10.7999362044
Asian Spot,,,,8.3,4.0,,8.4,14.2,,18.0,,,5.0,,11.2,,14.2,13.0,,,10.0,5.2,11.5,8.5,15.5,,25.0,,8.8,,8.5,17.0,8.0,,12.8,6.3,,11.25,,9.65,,,4.1,10.1,17.25,,,9.0,12.0,,7.0,13.0,13.85,5.9,3.5,14.85,13.0,,,,,14.7,8.5,,8.55,,,,12.0,16.75,,,6.0,,10.5,15.8,8.0,14.0,,6.4,3.5,15.5,,6.7,15.0,4.5,,,6.6,,,,,8.0,,,,9.0,,19.0,7.8,14.0,15.13,13.2,,17.92,,9.0,8.3,,,,,,17.4,,,,,,6.75,,13.25,,,,4.9,14.4,18.0,7.5,,,9.4,,6.1,,11.7,8.8,,8.5,,24.0,12.25,,16.7,,4.2,,9.5
Brent,44.66,27.789,32.48,76.16,69.18,25.5158,80.88,123.74,26.33,58.7,39.63,39.79,44.56,41.67,90.87,28.94,116.78,102.42,29.07,19.83,98.67,86.34,66.38,59.080002,117.93,28.31,113.88,28.22,78.050003,58.77,66.31,107.72,72.7,55.11,65.08,75.5,49.71,117.93,66.57,94.23,60.32,27.287,65.88,48.06,112.17,30.3,27.04,57.310001,82.059998,51.28,71.7,89.3,112.26,72.95,69.07,111.06,60.39,32.53,62.65,26.76,18.34,52.35,75.1,25.4357,44.22,19.35,29.83,31.0082,55.17,109.19,34.7,36.86,79.88,29.7586,112.52,124.26,73.260002,110.56,26.8,68.82,50.31,127.49,24.43,69.01,138.04,65.18,27.5045,33.87,67.28,25.6927,22.6544,27.56,28.62,76.25,25.75,25.87,31.07,58.48,23.91,92.22,73.7,101.64,123.83,118.38,28.7014,112.91,30.12,36.17,78.85,25.74,29.98,30.2917,21.95,28.47,108.98,21.06,28.05,19.58,32.9481,32.38,76.72,41.39,59.18,25.34,52.4,23.89,46.19,94.32,64.78,78.26,47.31,42.84,86.6,33.97,75.11,48.78,58.5,66.6,27.741,73.529999,28.68,93.91,127.69,25.54,119.11,26.77,68.37,23.65,82.67
