uuid,name,otherNames,capabilities,timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,portCode,location.country,location.lat,location.lon,location.kind,kind
_v3FbpKMaEeGZW52HURim3w,Gate,,"DISCHARGE,DRYDOCK,LOAD",Europe/Amsterdam,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v23ZMKMaEeGZW52HURim3w,Gibraltar,,DRYDOCK,Europe/Madrid,0,24,0.0,7,false,24,,,0.0,0.0,Location,Port
_v3GpzaMaEeGZW52HURim3w,Gladstone,,LOAD,Australia/Brisbane,24,24,22.21,7,false,24,,,0.0,0.0,Location,Port
_v3GpxKMaEeGZW52HURim3w,Golden Pass,,DISCHARGE,America/Chicago,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3BxQKMaEeGZW52HURim3w,Guanabara Bay,,DISCHARGE,America/Sao_Paulo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3CYUKMaEeGZW52HURim3w,Guangdong Dapeng,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3E0m6MaEeGZW52HURim3w,Gwangyang,,"DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3CYU6MaEeGZW52HURim3w,Haikou,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3E0lqMaEeGZW52HURim3w,Hatsukaichi,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3DmcaMaEeGZW52HURim3w,Hazira,,DISCHARGE,Etc/GMT+5,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_Mmy9S4OyEeGIEpCXLEqYMQ,Heibei,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_L_4BdqS_EeGySdElvuopWw,Higashi-Ogishima,"Ogishima,Ohgishima,Higashi Ohgishima,Higashi-Ohgishima",DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3E0mKMaEeGZW52HURim3w,Himeji,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3FbrKMaEeGZW52HURim3w,Huelva,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3HQ06MaEeGZW52HURim3w,Idku,,LOAD,Africa/Cairo,24,24,23.98,7,false,24,,,0.0,0.0,Location,Port
_v3E0nKMaEeGZW52HURim3w,Incheon,,"DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3HQ16MaEeGZW52HURim3w,Iran,,LOAD,Asia/Tehran,24,24,23.82,7,false,24,,,0.0,0.0,Location,Port
_v3GCtqMaEeGZW52HURim3w,Isle of Grain,,DISCHARGE,Europe/London,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3CYVaMaEeGZW52HURim3w,Jiangsu,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3E0maMaEeGZW52HURim3w,Kagoshima,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3FbpaMaEeGZW52HURim3w,Karachi,,DISCHARGE,Asia/Karachi,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3E0mqMaEeGZW52HURim3w,Kawagoe,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3H35aMaEeGZW52HURim3w,Kenai,Nikiski,LOAD,Asia/Dubai,24,24,22.13,7,false,24,,,0.0,0.0,Location,Port
_v3H36KMaEeGZW52HURim3w,Kitimat,,LOAD,America/Vancouver,24,24,23.53,7,false,24,,,0.0,0.0,Location,Port
_v3Dmc6MaEeGZW52HURim3w,Kochi,,DISCHARGE,Etc/GMT+5,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_Mmy9ToOyEeGIEpCXLEqYMQ,Krk Island,Krk Is,DISCHARGE,Europe/Zagreb,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GpwKMaEeGZW52HURim3w,Lake Charles,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENgKMaEeGZW52HURim3w,Livorno,,DISCHARGE,Europe/Rome,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3HQ0KMaEeGZW52HURim3w,Lumut,,LOAD,Asia/Brunei,24,24,23.95,7,false,24,,,0.0,0.0,Location,Port
_v3Fbo6MaEeGZW52HURim3w,Manzanillo,,DISCHARGE,America/Mexico_City,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GCs6MaEeGZW52HURim3w,Map Ta Phut,,DISCHARGE,Asia/Bangkok,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
