name,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,units
Peru50pct_NGHH_JKM_1H,5.400,4.694,4.438,5.467,5.791,4.754,4.080,3.797,2.658,2.972,2.724,2.822,2.885,2.880,2.996,3.035,3.067,3.370,3.695,3.778,3.791,3.703,3.507,3.415,3.388,3.410,3.425,3.427,3.530,3.776,3.939,$/mmbtu
Peru50pct_NGHH_JKM_2H,5.125,4.420,5.040,5.890,5.426,4.392,3.987,3.127,2.809,2.927,2.676,3.040,2.880,2.880,2.996,3.035,3.067,3.370,3.695,3.778,3.791,3.703,3.507,3.415,3.388,3.410,3.425,3.427,3.530,3.776,3.939,$/mmbtu
PeruMaxRV_1H,8.463,7.216,7.042,9.145,9.849,7.534,6.401,7.185,9.744,4.669,4.328,4.381,4.690,4.676,4.892,4.964,5.000,5.526,6.494,8.719,8.650,6.022,5.720,5.526,5.446,5.461,5.482,5.490,5.677,6.123,6.339,$/mmbtu
PeruMaxRV_2H,7.884,7.014,8.211,10.056,9.256,6.625,6.542,5.941,15.844,4.700,4.260,4.816,4.676,4.676,4.892,4.964,5.000,5.526,6.494,8.719,8.650,6.022,5.720,5.526,5.446,5.461,5.482,5.490,5.677,6.123,6.339,$/mmbtu
AMBm,16.481,15.962,15.279,14.606,13.123,11.925,9.622,7.720,9.006,8.732,9.340,9.952,9.516,9.558,9.642,9.710,9.776,9.836,9.883,9.933,9.993,10.035,10.075,10.113,10.151,10.187,10.220,10.253,10.284,10.316,10.352,$/mmbtu
AMBm_1,16.094,16.481,15.962,15.279,14.606,13.123,11.925,9.622,7.720,9.006,8.732,9.340,9.952,9.516,9.558,9.642,9.710,9.776,9.836,9.883,9.933,9.993,10.035,10.075,10.113,10.151,10.187,10.220,10.253,10.284,10.316,$/mmbtu
OGLT,16.306,16.098,16.057,16.057,16.406,16.252,15.636,14.855,14.855,11.776,9.529,9.529,7.559,8.493,9.158,9.665,9.379,9.379,9.558,9.629,9.629,9.760,9.814,9.883,9.942,9.991,9.991,10.087,10.125,10.161,10.197,$/mmbtu
OGMT,16.955,16.741,16.698,16.698,17.058,16.899,16.264,15.459,15.459,12.282,9.964,9.964,7.932,8.895,9.582,10.105,9.810,9.810,9.994,10.068,10.068,10.202,10.259,10.329,10.390,10.441,10.441,10.540,10.579,10.617,10.653,$/mmbtu
KEMT,15.600,15.650,15.800,16.190,15.670,14.980,14.300,12.810,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,12.725,$/mmbtu
DUS,16.251,16.461,16.467,16.178,15.513,14.507,13.317,11.549,9.633,8.598,8.283,8.857,9.193,9.471,9.548,9.439,9.507,9.584,9.653,9.714,9.770,9.825,9.879,9.930,9.973,10.014,10.054,10.092,10.128,10.162,10.196,$/mmbtu
RLEm,16.229,15.695,14.993,14.301,12.776,11.543,9.175,7.219,8.541,8.259,8.885,9.514,9.066,9.109,9.196,9.266,9.333,9.395,9.443,9.495,9.556,9.599,9.641,9.681,9.720,9.756,9.790,9.824,9.856,9.889,9.926,$/mmbtu
RLEOm,15.445,14.937,14.269,13.610,12.159,10.986,8.732,6.871,8.129,7.861,8.456,9.055,8.629,8.670,8.752,8.818,8.882,8.941,8.987,9.102,9.161,9.202,9.243,9.280,9.317,9.352,9.385,9.417,9.448,9.480,9.515,$/mmbtu
PBRFOB,15.601,15.803,15.808,15.531,14.893,13.926,12.784,11.087,9.248,8.254,7.951,8.503,8.825,9.092,9.166,9.061,9.127,9.201,9.267,9.326,9.379,9.432,9.484,9.533,9.574,9.614,9.652,9.688,9.722,9.756,9.788,$/mmbtu
PBRDES,15.439,15.638,15.644,15.369,14.738,13.781,12.651,10.972,9.152,8.168,7.869,8.414,8.733,8.997,9.071,8.967,9.032,9.105,9.170,9.228,9.281,9.334,9.385,9.434,9.474,9.514,9.551,9.587,9.621,9.654,9.686,$/mmbtu
PBRsp,15.503,15.893,15.370,14.683,14.005,12.511,11.304,8.985,7.070,8.365,8.089,8.702,9.317,8.879,8.921,9.006,9.074,9.140,9.201,9.248,9.298,9.358,9.401,9.442,9.480,9.518,9.554,9.588,9.620,9.652,9.685,$/mmbtu
STATFOBAB,13.760,13.940,13.940,13.700,13.130,12.280,11.280,9.780,8.160,7.280,7.010,7.500,7.780,8.020,8.080,7.990,8.050,8.110,8.170,8.220,8.270,8.320,8.360,8.410,8.440,8.480,8.510,8.540,8.570,8.600,8.630,$/mmbtu
STATFOBAP,15.600,15.800,15.810,15.530,14.890,13.930,12.780,11.090,9.250,8.250,7.950,8.500,8.820,9.090,9.170,9.060,9.130,9.200,9.270,9.330,9.380,9.430,9.480,9.530,9.570,9.610,9.650,9.690,9.720,9.760,9.790,$/mmbtu
GDF,,12.611,12.585,12.469,12.304,11.979,11.484,10.694,9.749,9.026,8.305,7.824,7.570,7.549,7.794,7.871,7.996,8.062,8.056,8.109,8.160,8.207,8.251,8.293,8.333,8.371,8.405,8.436,8.465,8.492,8.517,$/mmbtu
CHUBU,15.835,16.219,15.704,15.026,14.358,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,13.150,$/mmbtu
KPC,15.676,15.875,15.827,15.440,14.747,13.819,12.723,11.045,9.136,8.134,7.815,8.390,8.688,8.948,9.053,8.968,9.053,9.131,9.200,9.262,9.324,9.386,9.446,9.501,9.550,9.596,9.635,9.672,9.707,9.741,9.774,$/mmbtu
GN,3.803,4.262,4.105,4.183,4.632,4.387,3.874,3.870,4.102,3.598,3.624,3.756,3.746,4.361,4.174,4.080,4.234,3.931,3.931,3.931,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.876,3.877,3.877,$/mmbtu
BBE,3.678,4.133,3.987,4.078,4.556,4.355,3.915,3.948,4.168,3.687,3.716,3.834,3.823,4.420,4.237,4.145,4.295,4.000,4.000,4.009,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.964,$/mmbtu
BP,3.678,4.133,3.987,4.078,4.556,4.355,3.915,3.948,4.168,3.687,3.716,3.834,3.823,4.420,4.237,4.145,4.295,4.000,4.000,4.009,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.956,3.964,$/mmbtu
CNPT,4.032,3.508,2.809,2.505,2.632,2.384,6.253,5.241,4.928,5.556,2.101,1.903,1.996,1.887,1.914,1.806,1.936,2.059,4.621,7.549,6.909,3.640,2.485,2.495,2.340,2.489,2.361,2.074,2.102,3.107,4.418,$/mmbtu
CFE,4.074,4.061,3.409,3.551,3.569,3.288,3.822,2.769,2.617,2.601,2.392,2.257,2.556,2.360,2.385,2.396,2.431,2.546,2.718,2.815,2.812,2.776,2.653,2.663,2.693,2.732,2.744,2.740,2.766,2.836,2.982,$/mmbtu
EST_AP,,,,,,,,,,,,,,7.600,8.000,8.000,8.100,8.300,8.500,8.600,8.800,8.700,8.300,8.100,,,,,,,,$/mmbtu
MST_AB,,,,,,,,,,,,,,7.400,7.490,7.550,7.390,7.840,8.100,8.160,8.190,7.980,7.530,7.250,,,,,,,,$/mmbtu
MST_ME,,,,,,,,,,,,,,7.750,7.750,7.750,7.940,7.990,8.040,8.080,8.110,8.140,8.170,8.200,,,,,,,,$/mmbtu
Brent1_Jun,111.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH1_Jun,4.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCO1_Jun,4.580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F380Hou,598.381,578.614,567.357,551.167,474.109,423.472,326.167,259.100,319.053,300.727,316.810,339.525,332.250,323.770,320.463,321.425,323.029,324.771,326.766,328.638,330.234,332.078,333.716,335.505,337.161,338.783,340.607,342.237,343.709,345.004,346.311,$/mt
F380Fuj,609.619,607.717,597.475,589.682,506.087,458.525,361.381,286.929,357.125,332.705,342.100,381.868,347.534,341.582,344.803,348.464,351.059,353.113,355.387,358.030,359.851,361.855,364.032,365.823,367.354,368.797,370.156,371.834,373.360,375.032,376.454,$/mt
F380Sin,613.333,604.330,597.036,579.739,502.464,466.075,363.857,281.810,348.833,324.193,340.060,376.525,357.833,346.580,349.985,353.422,356.059,358.133,360.433,363.030,364.851,366.924,369.032,370.816,372.354,373.797,375.186,376.834,378.360,380.032,381.519,$/mt
F380SinM_1,598.600,613.333,604.330,597.036,579.739,502.464,466.075,363.857,281.810,348.833,324.193,340.060,376.525,357.833,346.580,349.985,353.422,356.059,358.133,360.433,363.030,364.851,366.924,369.032,370.816,372.354,373.797,375.186,376.834,378.360,380.032,$/mt
F380Gib,600.119,594.413,582.800,565.545,510.543,446.300,343.690,272.881,323.550,316.955,337.350,359.658,350.182,350.500,350.500,350.500,350.500,350.500,350.500,350.500,350.500,350.500,350.500,350.500,350.500,350.500,350.500,350.500,350.500,350.500,350.500,$/mt
MGOGib,938.500,922.022,901.400,870.545,798.891,753.400,619.262,513.595,585.450,565.864,582.000,642.237,617.000,585.500,585.500,585.500,585.500,585.500,585.500,585.500,585.500,585.500,585.500,585.500,585.500,585.500,585.500,585.500,585.500,585.500,585.500,$/mt
MDOSin,925.357,907.955,883.000,852.909,767.357,716.700,609.833,505.833,578.139,570.318,571.667,601.250,579.024,563.500,563.500,563.500,563.500,563.500,563.500,563.500,563.500,563.500,563.500,563.500,563.500,563.500,563.500,563.500,563.500,563.500,563.500,$/mt
