name,location.name,location.otherNames,capabilities,location.timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,location.country,location.lat,location.lon,location.kind,kind,location.mmxId
Gibraltar,Gibraltar,,DRYDOCK,Europe/Madrid,0,24,0.0,7,false,24,Gibraltar,0.0,0.0,Location,Port,L_GI_Gibra
Gladstone,Gladstone,,LOAD,Australia/Brisbane,24,24,22.21,7,false,24,Australia,0.0,0.0,Location,Port,L_AU_Glads
Golden Pass,Golden Pass,,DISCHARGE,America/Chicago,24,24,22.8,7,false,24,United States,0.0,0.0,Location,Port,L_US_Golde
Guanabara Bay,Guanabara Bay,,DISCHARGE,America/Sao_Paulo,24,24,22.8,7,false,24,Brazil,0.0,0.0,Location,Port,L_BR_Guana
Guangdong Dapeng,Guangdong Dapeng,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,China,0.0,0.0,Location,Port,L_CN_Guang
Gwangyang,Gwangyang,,"DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,South Korea,0.0,0.0,Location,Port,L_KR_Gwang
Haikou,Haikou,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,China,0.0,0.0,Location,Port,L_CN_Haiko
Hatsukaichi,Hatsukaichi,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Hatsu
Hazira,Hazira,,DISCHARGE,Etc/GMT+5,24,24,22.8,7,false,24,India,0.0,0.0,Location,Port,L_IN_Hazir
Heibei,Heibei,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,China,0.0,0.0,Location,Port,L_CN_Heibe
Higashi-Ogishima,Higashi-Ogishima,"Ogishima,Ohgishima,Higashi Ohgishima,Higashi-Ohgishima",DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Higas
Himeji,Himeji,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Himej
Huelva,Huelva,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,Spain,0.0,0.0,Location,Port,L_ES_Huelv
Idku,Idku,,LOAD,Africa/Cairo,24,24,23.98,7,false,24,Egypt,0.0,0.0,Location,Port,L_EG_Idku
Incheon,Incheon,,"DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,South Korea,0.0,0.0,Location,Port,L_KR_Inche
Iran,Iran,,LOAD,Asia/Tehran,24,24,23.82,7,false,24,Iran,0.0,0.0,Location,Port,L_IR_Tomba
Isle of Grain,Isle of Grain,,DISCHARGE,Europe/London,24,24,22.8,7,false,24,United Kingdom,0.0,0.0,Location,Port,L_GB_Isleo
Jiangsu,Jiangsu,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,China,0.0,0.0,Location,Port,L_CN_Jiang
Kagoshima,Kagoshima,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Kagos
Karachi,Karachi,,DISCHARGE,Asia/Karachi,24,24,22.8,7,false,24,Pakistan,0.0,0.0,Location,Port,L_PK_Karac
Kawagoe,Kawagoe,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Kawag
Kenai,Kenai,Nikiski,LOAD,Asia/Dubai,24,24,22.13,7,false,24,United States,0.0,0.0,Location,Port,L_US_Kenai
